iter	F1	Logloss
118	0.3424522446	0.6123868361
119	0.3399829704	0.6122356284
120	0.3414776694	0.6119606077
121	0.3408414474	0.6116769326
122	0.3407821677	0.6114813084
123	0.3407584616	0.6112678723
124	0.3408058771	0.6110097009
125	0.3428614574	0.6107999161
126	0.3427067003	0.6106808118
127	0.3427185998	0.6104497134
128	0.342813825	0.6102611298
129	0.3428019189	0.6100293076
130	0.3428495481	0.6097203001
131	0.3433177964	0.6095227435
132	0.3433416367	0.6093188012
133	0.3433654803	0.609133996
134	0.3423213563	0.6089611301
135	0.3428376396	0.6087663651
136	0.3433774034	0.6085029977
137	0.3433654803	0.608335654
138	0.3444440587	0.608121816
139	0.3433893273	0.6080380431
140	0.3443723538	0.6078507591
141	0.3448512846	0.6076396615
142	0.3453178078	0.6074608483
143	0.3448991292	0.6072353222
144	0.3449230564	0.6071179141
145	0.3443604058	0.6070214824
146	0.3448273672	0.6068717659
147	0.345329778	0.6067621212
148	0.3457599143	0.6066022219
149	0.3459157036	0.6064080135
150	0.3459276932	0.6062580534
151	0.3454495256	0.6061970877
152	0.3459157036	0.6060594611
153	0.3459276932	0.6059009984
154	0.3459157036	0.6057330947
155	0.346513468	0.6055949625
156	0.3465975486	0.6054414994
157	0.3461436484	0.6053700719
158	0.3461076372	0.6052770627
159	0.345497448	0.6051970525
160	0.3460116438	0.6050748723
161	0.3461316438	0.6049208917
162	0.3460836338	0.6047953469
163	0.3458797398	0.6046276552
164	0.3454495256	0.6044738001
165	0.3455214141	0.6043285091
166	0.3462036838	0.6041988778
167	0.3467898859	0.6040798646
168	0.3457372592	0.6039454311
169	0.3457372592	0.6038556021
170	0.3457732596	0.6037000546
171	0.3462877684	0.6035939086
172	0.346383915	0.6034521635
173	0.3458452828	0.603308538
174	0.3463718938	0.6031947956
175	0.3463959371	0.6030593175
176	0.3464921439	0.6028857371
177	0.3464320084	0.6028412087
178	0.346383915	0.6027424314
179	0.3457492585	0.6026003757
180	0.3457852614	0.602483973
181	0.3453663107	0.6023569809
182	0.3454023002	0.6022428979
183	0.3449468308	0.6022236514
184	0.3459533741	0.6021082121
185	0.3460254724	0.6019494142
186	0.3459774035	0.6018296599
187	0.3459894195	0.6017297
188	0.3455343257	0.601684739
189	0.3460735547	0.6015330513
190	0.3460014363	0.6013952391
191	0.3460735547	0.6012922617
192	0.3471631477	0.6011462966
193	0.3471028898	0.601077657
194	0.3471510945	0.6009413434
195	0.3466245155	0.6007911995
196	0.347211369	0.6007007861
197	0.3467328947	0.6005732356
198	0.3466967608	0.6004400619
199	0.3471510945	0.6003172945
200	0.3476170123	0.6001896573
201	0.346564334	0.600071714
202	0.3470908408	0.5999375437
203	0.346564334	0.5998704428
204	0.3460254724	0.5997646131
205	0.3450067824	0.5996479187
206	0.3450667549	0.5996175848
207	0.3455703502	0.5995165007
208	0.3450427634	0.5994177857
209	0.3449947904	0.5993212393
210	0.3448869	0.5992291828
211	0.3443591654	0.5991209553
212	0.3448269901	0.5990297955
213	0.3443112939	0.5989306117
214	0.3454023002	0.5988229787
215	0.3459653884	0.5986899159
216	0.3464801151	0.5986020843
217	0.3465162039	0.5985328795
218	0.3460134539	0.5984443177
219	0.3465162039	0.598345031
220	0.3465523002	0.5982320416
221	0.3460254724	0.598115953
222	0.3459653884	0.5979993368
223	0.3464680872	0.5979047485
224	0.3464440338	0.5978510841
225	0.3468741007	0.5977510309
226	0.3478773473	0.5976612543
227	0.3473397831	0.5975876164
228	0.3467177344	0.5975010493
229	0.3478894068	0.5974376285
230	0.3484025332	0.5973438766
231	0.3479617812	0.5972504824
232	0.3495487475	0.5971819407
233	0.3489515625	0.597108074
234	0.3490362091	0.5970144739
235	0.3495487475	0.5969496878
236	0.3494761098	0.5968801482
237	0.3499155179	0.5968033379
238	0.3494156014	0.5967462562
239	0.3500245617	0.596616698
240	0.350499942	0.5965428955
241	0.3505484714	0.5964585153
242	0.3505363378	0.5963510046
243	0.3505606059	0.5962818959
244	0.3500366818	0.5962075283
245	0.3515952934	0.5961321341
246	0.3510963468	0.5960886859
247	0.3511084973	0.5960184512
248	0.3516926207	0.5959521027
249	0.3512300476	0.5958728642
250	0.3517656516	0.5957789132
251	0.3512665291	0.5957106371
252	0.3511692619	0.5956142478
253	0.3516804519	0.5954948768
254	0.3526895582	0.5953917785
255	0.3532484943	0.5953816931
256	0.3532118648	0.5952459504
257	0.3532362836	0.5951434708
258	0.3531508327	0.5950995279
259	0.3531508327	0.5950347289
260	0.3531630374	0.594951513
261	0.3531508327	0.5948559453
262	0.3542065445	0.5947952808
263	0.3536849563	0.5947193787
264	0.3542065445	0.5946578561
265	0.3541943114	0.5945744215
266	0.3541943114	0.5944642678
267	0.3537093967	0.5943923232
268	0.3536849563	0.5943235625
269	0.3541820792	0.5942221117
270	0.3547278022	0.5941579815
271	0.3546053686	0.5940587856
272	0.355187432	0.5939913805
273	0.3552242082	0.5939148934
274	0.3557570525	0.5938069258
275	0.355806159	0.5937485695
276	0.355781604	0.5936872176
277	0.355744778	0.5936311967
278	0.355781604	0.5935747628
279	0.3557202315	0.5935023319
280	0.3551261553	0.5934336
281	0.356105344	0.5933312874
282	0.3555852864	0.5932561736
283	0.3551261553	0.5932386364
284	0.3560930673	0.5931576144
285	0.356105344	0.593114643
286	0.3556220795	0.5930592102
287	0.3561421792	0.5929514247
288	0.3561667403	0.5929055489
289	0.3561790221	0.592825982
290	0.3571813924	0.5927101603
291	0.3565882031	0.5926153677
292	0.3576142752	0.5925510207
293	0.3576142752	0.5925130116
294	0.3576265914	0.5924741295
295	0.3571444731	0.5923974486
296	0.3571321683	0.592282354
297	0.3571690851	0.5922112567
298	0.3576635451	0.5921360436
299	0.3571690851	0.5920461283
