iter	F1	Logloss
0	0.09151341375	0.6918215711
1	0.07278878209	0.6905067423
2	0.07355688007	0.6893146135
3	0.1135573449	0.6878755843
4	0.1059934034	0.6867402966
5	0.09691789959	0.6856187086
6	0.1030597591	0.6844198846
7	0.1099079306	0.6829333713
8	0.110656114	0.6818822585
9	0.1106464421	0.6807068413
10	0.1204157854	0.6790842634
11	0.1338327232	0.6775414517
12	0.1345597369	0.6762877991
13	0.1704001694	0.6750743435
14	0.1876222378	0.6736941444
15	0.2191401789	0.6724725545
16	0.2183329806	0.6713136135
17	0.2407483937	0.669887631
18	0.2425829364	0.6686730141
19	0.2500036893	0.6675132902
20	0.2557290598	0.6664879725
21	0.2618006243	0.6653724011
22	0.2610486188	0.6644086678
23	0.2703859716	0.6633762148
24	0.2796392404	0.6623234635
25	0.2829002578	0.6613292934
26	0.2851058644	0.6600569808
27	0.2887974843	0.659262041
28	0.2995036675	0.6583218942
29	0.2994927297	0.6575829706
30	0.3022481859	0.6566472022
31	0.3035294116	0.655570787
32	0.3024079479	0.6547227444
33	0.3056992525	0.6538817319
34	0.309989733	0.6530081825
35	0.311372244	0.6518415363
36	0.3175633664	0.6510390869
37	0.317540654	0.6502367912
38	0.3201144158	0.6495009767
39	0.3224065831	0.6487483587
40	0.3237569087	0.6478014924
41	0.3266155002	0.6471858775
42	0.3292293092	0.6464408499
43	0.330860413	0.6455711504
44	0.3328970363	0.6449240996
45	0.3329788417	0.6442519218
46	0.3330957765	0.6434284588
47	0.3316464852	0.6425431935
48	0.3323601384	0.6416659555
49	0.3323601384	0.6408534485
50	0.3318695149	0.6402251085
51	0.3314017285	0.6395665208
52	0.331578353	0.6387642625
53	0.3337356851	0.6379669373
54	0.3331530562	0.6373525331
55	0.332815271	0.6366392063
56	0.3331764159	0.6360379049
57	0.3327913998	0.6355171141
58	0.3334417356	0.6349262806
59	0.333558319	0.6342309606
60	0.3343228636	0.6335230721
61	0.334311193	0.6331389822
62	0.3343578805	0.6326400842
63	0.3349963869	0.6319321217
64	0.3362264225	0.631316689
65	0.3378718133	0.6308195922
66	0.3349729971	0.6304240366
67	0.3355763061	0.6298162365
68	0.3375641976	0.6293299342
69	0.3398268886	0.628774766
70	0.3405771648	0.6283819945
71	0.3385205237	0.6278134874
72	0.3386499678	0.6273973002
73	0.3388502128	0.6269957435
74	0.3384377787	0.6265521694
75	0.3379306356	0.6262526283
76	0.3416621998	0.6257364336
77	0.3412165077	0.6254667329
78	0.3412046462	0.6251537988
79	0.3401815475	0.624677236
80	0.3382486303	0.6242571872
81	0.3398882552	0.623825704
82	0.3396280601	0.6234429929
83	0.3407347587	0.6231057547
84	0.34150795	0.6227584343
85	0.3431663565	0.6222823394
86	0.3437759714	0.6218946576
87	0.3437402541	0.6215083842
88	0.3418936934	0.6211973838
89	0.3400277711	0.6207711724
90	0.3421430335	0.6204492642
91	0.3423094623	0.620175224
92	0.3415316716	0.6198270159
93	0.3405452548	0.6194885161
94	0.3414012432	0.6191703932
95	0.3439189147	0.6188499976
96	0.3432852654	0.6185133578
97	0.3433804519	0.6181980421
98	0.344278183	0.6177821406
99	0.344803873	0.6175760903
100	0.3424094828	0.6172800045
101	0.3415553966	0.6169715285
102	0.3411927855	0.616677832
103	0.3415909902	0.6163003683
104	0.34150795	0.616058589
105	0.3419292911	0.6158266345
106	0.3409439018	0.6155133353
107	0.3404624131	0.6152521467
108	0.3405215816	0.6149635186
109	0.340592611	0.6146864193
110	0.3405689312	0.6143556258
111	0.3411927855	0.6141348042
112	0.3413470386	0.6138258248
113	0.3409719355	0.6135916939
114	0.3399829704	0.6133227361
115	0.340513231	0.6131145397
116	0.3410431529	0.612885391
117	0.3414657898	0.6125946611
